Year;Country Name;Value;Indicator Name
2000;Greece;100;Test
2001;Greece;120;Test
1990.0;Albania;15015.6;Total fisheries production (metric tons)
2000.0;Albania;3635.0;Total fisheries production (metric tons)
2009.0;Albania;8128.0;Total fisheries production (metric tons)
2010.0;Albania;7636.2;Total fisheries production (metric tons)
2011.0;Albania;6827.2;Total fisheries production (metric tons)
2012.0;Albania;10649.2;Total fisheries production (metric tons)
2013.0;Albania;11078.5;Total fisheries production (metric tons)
2014.0;Albania;11476.7;Total fisheries production (metric tons)
2015.0;Albania;9472.5;Total fisheries production (metric tons)
2016.0;Albania;8835.7;Total fisheries production (metric tons)
1990.0;Bulgaria;57103.0;Total fisheries production (metric tons)
2000.0;Bulgaria;12317.0;Total fisheries production (metric tons)
2009.0;Bulgaria;15700.5;Total fisheries production (metric tons)
2010.0;Bulgaria;18689.6;Total fisheries production (metric tons)
2011.0;Bulgaria;15150.2;Total fisheries production (metric tons)
2012.0;Bulgaria;15556.1;Total fisheries production (metric tons)
2013.0;Bulgaria;21821.7;Total fisheries production (metric tons)
2014.0;Bulgaria;19859.8;Total fisheries production (metric tons)
2015.0;Bulgaria;22365.6;Total fisheries production (metric tons)
2016.0;Bulgaria;24376.2;Total fisheries production (metric tons)
1990.0;Cyprus;2709.0;Total fisheries production (metric tons)
2000.0;Cyprus;70223.0;Total fisheries production (metric tons)
2009.0;Cyprus;4824.5;Total fisheries production (metric tons)
2010.0;Cyprus;5510.8;Total fisheries production (metric tons)
2011.0;Cyprus;5855.0;Total fisheries production (metric tons)
2012.0;Cyprus;5656.7;Total fisheries production (metric tons)
2013.0;Cyprus;6525.1;Total fisheries production (metric tons)
2014.0;Cyprus;6114.1;Total fisheries production (metric tons)
2015.0;Cyprus;6953.6;Total fisheries production (metric tons)
2016.0;Cyprus;8132.0;Total fisheries production (metric tons)
1990.0;Greece;141904.0;Total fisheries production (metric tons)
2000.0;Greece;194761.7;Total fisheries production (metric tons)
2009.0;Greece;205192.8;Total fisheries production (metric tons)
2010.0;Greece;191423.8;Total fisheries production (metric tons)
2011.0;Greece;174055.6;Total fisheries production (metric tons)
2012.0;Greece;172017.7;Total fisheries production (metric tons)
2013.0;Greece;178171.1;Total fisheries production (metric tons)
2014.0;Greece;164835.7;Total fisheries production (metric tons)
2015.0;Greece;172588.4;Total fisheries production (metric tons)
2016.0;Greece;199772.0;Total fisheries production (metric tons)
2012.0;Bulgaria;27.2;Annual freshwater withdrawals, total (% of internal resources)
2014.0;Bulgaria;27.2;Annual freshwater withdrawals, total (% of internal resources)
2012.0;Cyprus;25.7;Annual freshwater withdrawals, total (% of internal resources)
2014.0;Cyprus;28.4;Annual freshwater withdrawals, total (% of internal resources)
1990.0;Albania;8.3;Annual freshwater withdrawals, industry (% of total freshwater withdrawal)
2000.0;Albania;12.4;Annual freshwater withdrawals, industry (% of total freshwater withdrawal)
1990.0;Bulgaria;64.8;Annual freshwater withdrawals, industry (% of total freshwater withdrawal)
2012.0;Bulgaria;66.8;Annual freshwater withdrawals, industry (% of total freshwater withdrawal)
2015.0;Bulgaria;69.3;Annual freshwater withdrawals, industry (% of total freshwater withdrawal)
1990.0;Cyprus;2.2;Annual freshwater withdrawals, industry (% of total freshwater withdrawal)
2012.0;Cyprus;2.3;Annual freshwater withdrawals, industry (% of total freshwater withdrawal)
1990.0;Albania;37.2;Agriculture, forestry, and fishing, value added (% of GDP)
2000.0;Albania;24.5;Agriculture, forestry, and fishing, value added (% of GDP)
2009.0;Albania;16.8;Agriculture, forestry, and fishing, value added (% of GDP)
2010.0;Albania;18.0;Agriculture, forestry, and fishing, value added (% of GDP)
2011.0;Albania;18.2;Agriculture, forestry, and fishing, value added (% of GDP)
2012.0;Albania;18.8;Agriculture, forestry, and fishing, value added (% of GDP)
2013.0;Albania;19.6;Agriculture, forestry, and fishing, value added (% of GDP)
2014.0;Albania;20.0;Agriculture, forestry, and fishing, value added (% of GDP)
2015.0;Albania;19.8;Agriculture, forestry, and fishing, value added (% of GDP)
2016.0;Albania;19.8;Agriculture, forestry, and fishing, value added (% of GDP)
2017.0;Albania;19.0;Agriculture, forestry, and fishing, value added (% of GDP)
2018.0;Albania;18.4;Agriculture, forestry, and fishing, value added (% of GDP)
1990.0;Bulgaria;17.7;Agriculture, forestry, and fishing, value added (% of GDP)
2000.0;Bulgaria;11.0;Agriculture, forestry, and fishing, value added (% of GDP)
2009.0;Bulgaria;4.2;Agriculture, forestry, and fishing, value added (% of GDP)
2010.0;Bulgaria;4.2;Agriculture, forestry, and fishing, value added (% of GDP)
2011.0;Bulgaria;4.6;Agriculture, forestry, and fishing, value added (% of GDP)
2012.0;Bulgaria;4.6;Agriculture, forestry, and fishing, value added (% of GDP)
2013.0;Bulgaria;4.6;Agriculture, forestry, and fishing, value added (% of GDP)
2014.0;Bulgaria;4.6;Agriculture, forestry, and fishing, value added (% of GDP)
2015.0;Bulgaria;4.1;Agriculture, forestry, and fishing, value added (% of GDP)
2016.0;Bulgaria;4.1;Agriculture, forestry, and fishing, value added (% of GDP)
2017.0;Bulgaria;4.1;Agriculture, forestry, and fishing, value added (% of GDP)
2018.0;Bulgaria;3.6;Agriculture, forestry, and fishing, value added (% of GDP)
1990.0;Cyprus;6.9;Agriculture, forestry, and fishing, value added (% of GDP)
2000.0;Cyprus;3.6;Agriculture, forestry, and fishing, value added (% of GDP)
2009.0;Cyprus;2.0;Agriculture, forestry, and fishing, value added (% of GDP)
2010.0;Cyprus;2.1;Agriculture, forestry, and fishing, value added (% of GDP)
2011.0;Cyprus;2.2;Agriculture, forestry, and fishing, value added (% of GDP)
2012.0;Cyprus;2.0;Agriculture, forestry, and fishing, value added (% of GDP)
2013.0;Cyprus;2.0;Agriculture, forestry, and fishing, value added (% of GDP)
2014.0;Cyprus;1.8;Agriculture, forestry, and fishing, value added (% of GDP)
2015.0;Cyprus;1.8;Agriculture, forestry, and fishing, value added (% of GDP)
2016.0;Cyprus;1.9;Agriculture, forestry, and fishing, value added (% of GDP)
2017.0;Cyprus;1.7;Agriculture, forestry, and fishing, value added (% of GDP)
2018.0;Cyprus;1.7;Agriculture, forestry, and fishing, value added (% of GDP)
2000.0;Greece;5.4;Agriculture, forestry, and fishing, value added (% of GDP)
2009.0;Greece;2.8;Agriculture, forestry, and fishing, value added (% of GDP)
2010.0;Greece;2.9;Agriculture, forestry, and fishing, value added (% of GDP)
2011.0;Greece;3.0;Agriculture, forestry, and fishing, value added (% of GDP)
2012.0;Greece;3.2;Agriculture, forestry, and fishing, value added (% of GDP)
2013.0;Greece;3.2;Agriculture, forestry, and fishing, value added (% of GDP)
2014.0;Greece;3.4;Agriculture, forestry, and fishing, value added (% of GDP)
2015.0;Greece;3.8;Agriculture, forestry, and fishing, value added (% of GDP)
2016.0;Greece;3.6;Agriculture, forestry, and fishing, value added (% of GDP)
2017.0;Greece;3.7;Agriculture, forestry, and fishing, value added (% of GDP)
2018.0;Greece;3.7;Agriculture, forestry, and fishing, value added (% of GDP)
1990.0;Albania;40.9;Agricultural land (% of land area)
2000.0;Albania;41.8;Agricultural land (% of land area)
2009.0;Albania;43.8;Agricultural land (% of land area)
2010.0;Albania;43.8;Agricultural land (% of land area)
2011.0;Albania;43.8;Agricultural land (% of land area)
2012.0;Albania;43.8;Agricultural land (% of land area)
2013.0;Albania;43.3;Agricultural land (% of land area)
2014.0;Albania;42.9;Agricultural land (% of land area)
2015.0;Albania;42.9;Agricultural land (% of land area)
2016.0;Albania;43.1;Agricultural land (% of land area)
1990.0;Bulgaria;55.7;Agricultural land (% of land area)
2000.0;Bulgaria;50.5;Agricultural land (% of land area)
2009.0;Bulgaria;46.3;Agricultural land (% of land area)
2010.0;Bulgaria;46.5;Agricultural land (% of land area)
2011.0;Bulgaria;46.9;Agricultural land (% of land area)
2012.0;Bulgaria;47.2;Agricultural land (% of land area)
2013.0;Bulgaria;46.0;Agricultural land (% of land area)
2014.0;Bulgaria;45.8;Agricultural land (% of land area)
2015.0;Bulgaria;46.2;Agricultural land (% of land area)
2016.0;Bulgaria;46.3;Agricultural land (% of land area)
1990.0;Cyprus;17.4;Agricultural land (% of land area)
